NAME,CNTY_FIPS,FIPS,DI_Basin,Well_Count,Oil_Double,Gas_Double,Prov_Cod_1
Knox,95,17095,,,,,315
Marshall,123,17123,,,,,310
Union,119,42119,,,,,160A
Carbon,25,42025,,,,,160A
Mahoning,99,39099,APPALACHIAN,2025,111155,5692083,160
Lawrence,73,42073,APPALACHIAN,213,8929,17017365,160
Bergen,3,34003,,,,,100
Livingston,105,17105,,,,,310
Warren,41,34041,,,,,160A
Tooele,45,49045,,,,,625
Morris,27,34027,,,,,160A
Des Moines,57,19057,,,,,325
Henderson,71,17071,,,,,325
Warren,187,17187,,,,,315
Cass,25,31025,,,,,380
Ashland,5,39005,APPALACHIAN,471,21621,243183,160
Wabash,169,18169,,,,,300
Seward,159,31159,,,,,380
Lancaster,109,31109,,,,,380
Buffalo,19,31019,,,,,390
Dawson,47,31047,,,,,390
York,185,31185,,,,,380
Hall,79,31079,,,,,380
Huntington,69,18069,,,,,300
Iroquois,75,17075,,,,,310
Miami,103,18103,,,,,300
Ford,53,17053,,,,,310
Moffat,81,8081,GREEN RIVER - OVERTHRUST,461,202158,8530650,535
Weld,123,8123,DENVER-JULESBURG,12411,161847016,1039145785,540
Jackson,57,8057,NORTH PARK,70,22530,0,535
Perkins,135,31135,,,,,390
Logan,75,8075,DENVER-JULESBURG,72,108178,215808,540
Sedgwick,115,8115,DENVER-JULESBURG,21,0,35844,390
Routt,107,8107,NORTH PARK,21,42378,51280,535
Larimer,69,8069,DENVER-JULESBURG,229,1775804,9409841,535
Daggett,9,49009,GREEN RIVER - OVERTHRUST,16,997,865072,507
Crawford,33,39033,APPALACHIAN,1,174,0,160
Lander,15,32015,,,,,625
Eureka,11,32011,OTHER - NEVADA,4,16966,0,625
Richland,139,39139,APPALACHIAN,18,18191,41374,160
Wayne,169,39169,APPALACHIAN,1376,155356,1221665,160
Van Wert,161,39161,,,,,305
Wyandot,175,39175,CINCINNATI ARCH,3,1238,0,160
Stark,151,39151,APPALACHIAN,2685,365135,3763699,160
Peoria,143,17143,,,,,315
Northampton,95,42095,,,,,160A
Pershing,27,32027,,,,,620
Schuylkill,107,42107,,,,,160A
Adams,1,18001,,,,,305
Wells,179,18179,,,,,305
Woodford,203,17203,,,,,310
Columbiana,29,39029,APPALACHIAN,715,72599,42645163,160
Bronx,5,36005,,,,,100
Cass,17,18017,,,,,300
White,181,18181,,,,,300
Salt Lake,35,49035,,,,,507
Allen,3,39003,,,,,300
Indiana,63,42063,APPALACHIAN,10337,1040,23299720,160A
Fremont,71,19071,,,,,335
Page,145,19145,,,,,335
Taylor,173,19173,,,,,335
Ringgold,159,19159,,,,,325
Nassau,59,36059,,,,,120
Davis,51,19051,,,,,325
Van Buren,177,19177,,,,,325
Decatur,53,19053,,,,,325
Wayne,185,19185,,,,,325
Essex,13,34013,,,,,150
Appanoose,7,19007,,,,,325
Snyder,109,42109,,,,,160A
New York,61,36061,,,,,100
Uintah,47,49047,UINTA,6552,9792201,150659853,535
Beaver,7,42007,APPALACHIAN,158,580832,97789060,160A
Mifflin,87,42087,,,,,160A
Duchesne,13,49013,UINTA,2806,16973443,40472390,507
Hudson,17,34017,,,,,150
Lee,111,19111,,,,,325
Hardin,65,39065,,,,,160
Queens,81,36081,,,,,120
Otoe,131,31131,,,,,380
Lehigh,77,42077,,,,,160A
Hunterdon,19,34019,,,,,160A
Suffolk,103,36103,,,,,120
McLean,113,17113,,,,,315
Somerset,35,34035,,,,,150
Carroll,15,18015,,,,,300
Tazewell,179,17179,,,,,315
Blair,13,42013,APPALACHIAN,6,0,472765,160A
Benton,7,18007,,,,,300
Phillips,95,8095,DENVER-JULESBURG,175,0,293433,390
Huntingdon,61,42061,APPALACHIAN,3,0,137287,160A
Kings,47,36047,,,,,120
Cambria,21,42021,APPALACHIAN,406,0,422715,160A
Union,39,34039,,,,,150
Mercer,107,39107,CINCINNATI ARCH,2,859,0,300
Carroll,19,39019,APPALACHIAN,1446,2498099,91790077,160
Fulton,57,17057,,,,,315
Morrow,117,39117,APPALACHIAN,154,82330,14874,160
Marion,101,39101,APPALACHIAN,1,539,0,160
Saline,151,31151,,,,,380
Adams,1,31001,,,,,380
Clay,35,31035,,,,,380
Fillmore,59,31059,,,,,380
Juniata,67,42067,,,,,160A
Hayes,85,31085,OTHER - NEBRASKA,9,19292,0,390
Chase,29,31029,DENVER-JULESBURG,8,19934,0,390
Frontier,63,31063,OTHER - NEBRASKA,10,18029,0,390
Gosper,73,31073,,,,,390
Auglaize,11,39011,CINCINNATI ARCH,6,3,161,300
Kearney,99,31099,SALINA,1,2268,0,380
Wasatch,51,49051,,,,,507
Phelps,137,31137,SALINA,5,31414,0,390
Berks,11,42011,,,,,160A
Westmoreland,129,42129,APPALACHIAN,4643,8623,71615948,160A
Allegheny,3,42003,APPALACHIAN,876,58510,174359770,160A
Grant,53,18053,,,,,300
Holmes,75,39075,APPALACHIAN,1411,97511,983736,160
Dauphin,43,42043,,,,,160A
Tuscarawas,157,39157,APPALACHIAN,2439,138586,3776134,160
Richmond,85,36085,,,,,120
Hancock,67,17067,,,,,325
McDonough,109,17109,,,,,315
Perry,99,42099,,,,,160A
Hancock,29,54029,APPALACHIAN,7,0,120,160A
Bucks,17,42017,,,,,160A
Clark,45,29045,,,,,325
Scotland,199,29199,,,,,325
Schuyler,197,29197,,,,,325
Middlesex,23,34023,,,,,150
Jefferson,81,39081,APPALACHIAN,310,1881,525560114,160A
Blackford,9,18009,,,,,300
Putnam,171,29171,,,,,325
Atchison,5,29005,,,,,335
Jay,75,18075,,,,,300
Utah,49,49049,,,,,625
Nodaway,147,29147,,,,,335
Mercer,129,29129,,,,,325
Howard,67,18067,,,,,300
Harrison,81,29081,,,,,325
Tippecanoe,157,18157,,,,,300
Worth,227,29227,,,,,335
Knox,83,39083,APPALACHIAN,983,110805,525320,160
Nemaha,127,31127,,,,,335
Lebanon,75,42075,,,,,160A
Logan,91,39091,CINCINNATI ARCH,2,66,52,160
Gage,67,31067,,,,,380
Johnson,97,31097,,,,,380
Morgan,87,8087,DENVER-JULESBURG,30,36985,17815,540
Union,159,39159,,,,,160
Vermilion,183,17183,,,,,315
Warren,171,18171,,,,,315
Shelby,149,39149,,,,,300
Washington,125,42125,APPALACHIAN,2829,4330413,1166148608,160A
Grand,49,8049,,,,,535
Coshocton,31,39031,APPALACHIAN,1880,119696,986099,160
Tehama,103,6103,SACRAMENTO,81,0,585128,715
Monmouth,25,34025,,,,,150
Plumas,63,6063,,,,,620
Delaware,41,39041,APPALACHIAN,7,1771,0,160
Montgomery,91,42091,,,,,160A
Mason,125,17125,,,,,315
Clinton,23,18023,,,,,300
Yuma,125,8125,DENVER-JULESBURG,3349,0,14927489,390
Washington,121,8121,DENVER-JULESBURG,355,343005,730586,540
Harrison,67,39067,APPALACHIAN,768,8090097,295132395,160
Mercer,21,34021,,,,,150
Tipton,159,18159,,,,,300
Champaign,19,17019,,,,,315
Brooke,9,54009,APPALACHIAN,131,2694752,60525162,160A
Madison,95,18095,,,,,300
Delaware,35,18035,,,,,300
Gentry,75,29075,,,,,335
Sullivan,211,29211,,,,,335
Fountain,45,18045,,,,,315
Darke,37,39037,,,,,300
Thayer,169,31169,,,,,380
Jefferson,95,31095,,,,,380
Adair,1,29001,,,,,335
Dundy,57,31057,DENVER-JULESBURG,148,184448,0,390
Franklin,61,31061,SALINA,6,14864,0,380
Webster,181,31181,,,,,380
Nuckolls,129,31129,,,,,380
Hitchcock,87,31087,OTHER - NEBRASKA,424,538710,0,390
Harlan,83,31083,SALINA,29,44152,0,390
Furnas,65,31065,OTHER - NEBRASKA,24,11472,0,390
Red Willow,145,31145,OTHER - NEBRASKA,198,135596,0,390
Logan,107,17107,,,,,315
Bedford,9,42009,,,,,160A
Cumberland,41,42041,,,,,160A
Randolph,135,18135,,,,,300
Lancaster,71,42071,,,,,160A
Knox,103,29103,,,,,330
Franklin,55,42055,,,,,160A
Piatt,147,17147,,,,,315
De Witt,39,17039,,,,,315
Somerset,111,42111,APPALACHIAN,35,0,2389650,160A
Schuyler,169,17169,,,,,315
Licking,89,39089,APPALACHIAN,973,131392,628865,160
Champaign,21,39021,,,,,160
Holt,87,29087,,,,,335
Richardson,147,31147,CHEROKEE PLATFORM,81,72993,0,335
Pawnee,133,31133,,,,,335
Grundy,79,29079,,,,,335
Boulder,13,8013,DENVER-JULESBURG,304,329586,3240710,540
Lewis,111,29111,,,,,330
Chester,29,42029,,,,,160A
Hamilton,57,18057,,,,,300
York,133,42133,,,,,160A
Montgomery,107,18107,,,,,300
Rio Blanco,103,8103,PICEANCE,3498,3131903,51724725,535
Guernsey,59,39059,APPALACHIAN,959,12321529,91477167,160
Adams,1,17001,,,,,330
Miami,109,39109,,,,,300
Ohio,69,54069,APPALACHIAN,180,4194312,112229416,160A
Boone,11,18011,,,,,300
Burlington,5,34005,,,,,150
Vermillion,165,18165,,,,,315
Menard,129,17129,,,,,315
Belmont,13,39013,APPALACHIAN,663,517600,892233612,160
Ocean,29,34029,,,,,120
Fulton,57,42057,,,,,160A
Muskingum,119,39119,APPALACHIAN,1570,70071,1961967,160
Butte,7,6007,SACRAMENTO,17,0,39352208,730
Daviess,61,29061,,,,,335
Franklin,49,39049,APPALACHIAN,1,0,0,160
Fayette,51,42051,APPALACHIAN,2671,3482,75052481,160A
Philadelphia,101,42101,,,,,150
Andrew,3,29003,,,,,335
Cass,17,17017,,,,,315
White Pine,33,32033,,,,,625
Madison,97,39097,,,,,160
Brown,9,17009,,,,,315
Garfield,45,8045,PICEANCE,12958,1289766,462311665,535
Henry,65,18065,,,,,300
Adams,1,42001,,,,,160A
Delaware,45,42045,,,,,150
Macon,115,17115,,,,,315
De Kalb,63,29063,,,,,335
Macon,121,29121,,,,,335
Clark,23,39023,,,,,160
Linn,115,29115,,,,,335
Marshall,51,54051,APPALACHIAN,572,5458255,381591791,160A
Greene,59,42059,APPALACHIAN,2426,37226,1089715818,160A
Wayne,177,18177,,,,,300
Juab,23,49023,,,,,625
Churchill,1,32001,,,,,620
Norton,137,20137,SALINA,147,144904,0,390
Phillips,147,20147,SALINA,301,211454,0,390
Rawlins,153,20153,SALINA,215,275929,0,390
Cheyenne,23,20023,DENVER-JULESBURG,641,292608,1467018,390
Decatur,39,20039,SALINA,161,168599,0,390
Republic,157,20157,,,,,380
Doniphan,43,20043,,,,,335
Mendocino,45,6045,,,,,715
Smith,183,20183,,,,,380
Jewell,89,20089,,,,,380
Washington,201,20201,,,,,380
Adams,1,8001,DENVER-JULESBURG,436,8711074,29303635,540
Nemaha,131,20131,CHEROKEE PLATFORM,20,36362,0,335
Marshall,117,20117,,,,,380
Brown,13,20013,OTHER - KANSAS,4,1782,0,335
Camden,7,34007,,,,,150
Sangamon,167,17167,,,,,315
Livingston,117,29117,,,,,335
Parke,121,18121,,,,,315
Shelby,205,29205,,,,,330
Hancock,59,18059,,,,,300
Marion,127,29127,,,,,330
Noble,121,39121,APPALACHIAN,1202,466573,73700197,160
Marion,97,18097,,,,,300
Fairfield,45,39045,APPALACHIAN,83,41867,132910,160
Hendricks,63,18063,,,,,300
Gilpin,47,8047,,,,,540
Perry,127,39127,APPALACHIAN,635,66506,169224,160
Montgomery,113,39113,,,,,300
Preble,135,39135,,,,,300
Summit,117,8117,,,,,545
Eagle,37,8037,,,,,535
Jefferson,59,8059,,,,,540
Edgar,45,17045,,,,,315
Douglas,41,17041,,,,,315
Gloucester,15,34015,,,,,150
Morgan,137,17137,,,,,315
Putnam,133,18133,,,,,315
Monroe,111,39111,APPALACHIAN,2100,1259207,479552909,160
Greene,57,39057,,,,,300
Pike,149,17149,,,,,330
Clear Creek,19,8019,,,,,540
New Castle,3,10003,,,,,150
Christian,21,17021,,,,,315
Buchanan,21,29021,,,,,335
Carbon,7,49007,PARADOX,1076,39737,37337794,630
Sanpete,39,49039,OTHER - UTAH,2,71470,642492,630
Pickaway,129,39129,APPALACHIAN,29,30703,100,160
Denver,31,8031,,,,,540
Glenn,21,6021,SACRAMENTO,179,0,2124076,730
Moultrie,139,17139,,,,,315
Scott,171,17171,,,,,315
Rush,139,18139,,,,,300
Fayette,41,18041,,,,,300
Caldwell,25,29025,,,,,335
Salem,33,34033,,,,,120
Sierra,91,6091,,,,,620
Morgan,115,39115,APPALACHIAN,580,35869,491937,160
Clinton,49,29049,,,,,335
Lyon,19,32019,,,,,620
Union,161,18161,,,,,300
Arapahoe,5,8005,DENVER-JULESBURG,126,2418332,6214357,540
Atlantic,1,34001,,,,,120
Washington,43,24043,,,,,160A
Allegany,1,24001,APPALACHIAN,1,0,20706,160A
Cecil,15,24015,,,,,150
Garrett,23,24023,APPALACHIAN,4,0,18442,160A
Harford,25,24025,,,,,150
Monongalia,61,54061,APPALACHIAN,352,1278,123689717,160A
Preston,77,54077,APPALACHIAN,175,76,1543151,160A
Carroll,13,24013,,,,,150
Baltimore,5,24005,,,,,150
Wetzel,103,54103,APPALACHIAN,1104,631465,196644769,160A
Frederick,21,24021,,,,,160A
Fayette,47,39047,,,,,160
Chariton,41,29041,,,,,335
Shelby,145,18145,,,,,300
Emery,15,49015,PARADOX,204,0,5047910,630
Morgan,65,54065,,,,,160A
Coles,29,17029,,,,,315
Ralls,173,29173,,,,,330
Monroe,137,29137,,,,,330
Shelby,173,17173,,,,,315
Hocking,73,39073,APPALACHIAN,338,35845,16898,160
Cloud,29,20029,,,,,380
Atchison,5,20005,,,,,335
Jackson,85,20085,CHEROKEE PLATFORM,5,977,0,335
Mineral,57,54057,APPALACHIAN,3,0,120,160A
Washington,167,39167,APPALACHIAN,2612,61674,3521052,160
Marion,49,54049,APPALACHIAN,718,1750,35471422,160A
Johnson,81,18081,,,,,300
Morgan,109,18109,,,,,300
Yuba,115,6115,SACRAMENTO,1,0,203,730
Storey,29,32029,,,,,620
Berkeley,3,54003,,,,,160A
Carroll,33,29033,,,,,335
Vigo,167,18167,,,,,315
Randolph,175,29175,,,,,330
Clay,21,18021,,,,,315
Tyler,95,54095,APPALACHIAN,1038,2610812,515471146,160A
Pike,163,29163,,,,,330
Warren,165,39165,,,,,300
Butler,17,39017,,,,,300
Lake,33,6033,,,,,730
Clinton,27,39027,,,,,160
Kit Carson,63,8063,ANADARKO,7,3163,7353,540
Sherman,181,20181,ANADARKO,241,42461,680129,450
Thomas,193,20193,SALINA,162,571472,0,385
Sheridan,179,20179,SALINA,116,157347,0,385
Clay,27,20027,SALINA,2,1174,0,380
Cumberland,11,34011,,,,,120
Lincoln,73,8073,DENVER-JULESBURG,90,455039,207315,540
Elbert,39,8039,DENVER-JULESBURG,22,6543,4674,540
Riley,161,20161,CHEROKEE PLATFORM,28,11605,0,380
Park,93,8093,,,,,540
Rooks,163,20163,SALINA,1515,1364295,0,380
Douglas,35,8035,,,,,540
Osborne,141,20141,SALINA,122,106971,0,380
Pottawatomie,149,20149,,,,,335
Graham,65,20065,SALINA,814,780313,0,385
Mitchell,123,20123,,,,,380
Athens,9,39009,APPALACHIAN,660,9995,277645,160
Millard,27,49027,,,,,625
Hampshire,27,54027,,,,,160A
Platte,165,29165,,,,,335
Montgomery,135,17135,,,,,315
Macoupin,117,17117,,,,,315
Ray,177,29177,,,,,335
Greene,61,17061,,,,,315
Grand,19,49019,PARADOX,231,168708,2178281,575
Franklin,47,18047,,,,,300
Nevada,57,6057,,,,,620
Ross,141,39141,,,,,160
Jefferson,37,54037,,,,,160A
Clark,23,17023,,,,,315
Pleasants,73,54073,APPALACHIAN,662,98548,5003369,160
Harrison,33,54033,APPALACHIAN,3247,32417,145707714,160A
Owen,119,18119,,,,,315
Frederick,69,51069,,,,,160A
Clay,47,29047,,,,,335
Doddridge,17,54017,APPALACHIAN,3702,800207,379587300,160A
Taylor,91,54091,APPALACHIAN,547,0,26899331,160A
Decatur,31,18031,,,,,300
Colusa,11,6011,SACRAMENTO,155,0,11414413,730
Jefferson,87,20087,CHEROKEE PLATFORM,54,5938,0,335
Leavenworth,103,20103,CHEROKEE PLATFORM,149,32274,0,335
Wood,107,54107,APPALACHIAN,419,10079,172410,160
Saline,195,29195,,,,,335
Calhoun,13,17013,,,,,330
Ritchie,85,54085,APPALACHIAN,4424,1276274,240393436,160
Vinton,163,39163,APPALACHIAN,109,13177,82996,160
Kent,29,24029,,,,,120
Cumberland,35,17035,,,,,315
Lake,65,8065,,,,,595
Highland,71,39071,,,,,160
Baltimore City,510,24510,,,,,150
Kent,1,10001,,,,,120
Howard,27,24027,,,,,150
Mesa,77,8077,PICEANCE,1731,107998,47165284,595
Pitkin,97,8097,,,,,595
Montgomery,31,24031,,,,,150
Audrain,7,29007,,,,,330
Howard,89,29089,,,,,340
Bartholomew,5,18005,,,,,300
Brown,13,18013,,,,,315
Monroe,105,18105,,,,,315
Grant,23,54023,,,,,160A
Cape May,9,34009,,,,,120
Loudoun,107,51107,,,,,160A
Dearborn,29,18029,,,,,300
Placer,61,6061,,,,,620
Hamilton,61,39061,,,,,300
Ottawa,143,20143,,,,,380
Ripley,137,18137,,,,,300
Sutter,101,6101,SACRAMENTO,195,0,2703355,730
Barbour,1,54001,APPALACHIAN,1754,3856,16789122,160A
Lafayette,107,29107,,,,,335
Queen Annes,35,24035,,,,,120
Tucker,93,54093,APPALACHIAN,11,0,119738,160A
Clarke,43,51043,,,,,160A
Clermont,25,39025,,,,,300
Carson City,510,32510,,,,,620
Sullivan,153,18153,,,,,315
Jersey,83,17083,,,,,315
Gunnison,51,8051,PICEANCE,40,582,3712521,595
Boone,19,29019,,,,,330
Brown,15,39015,,,,,300
Hardy,31,54031,,,,,160A
Jackson,95,29095,,,,,335
Anne Arundel,3,24003,,,,,150
Lincoln,113,29113,,,,,330
Fayette,51,17051,,,,,315
Geary,61,20061,,,,,380
Shawnee,177,20177,,,,,335
Effingham,49,17049,,,,,315
Lincoln,105,20105,,,,,380
Delta,29,8029,PICEANCE,6,0,421461,595
Wabaunsee,197,20197,CHEROKEE PLATFORM,26,24544,0,335
Winchester,840,51840,,,,,160A
Jackson,79,39079,APPALACHIAN,6,0,5324,160
Meigs,105,39105,APPALACHIAN,441,18367,365355,160
Wyandotte,209,20209,,,,,335
Jennings,79,18079,,,,,300
Pike,131,39131,,,,,160
Crawford,33,17033,,,,,315
Jasper,79,17079,,,,,315
Wirt,105,54105,APPALACHIAN,386,11931,324178,160
Greene,55,18055,,,,,315
Lewis,41,54041,APPALACHIAN,2902,20072,7747531,160A
Nye,23,32023,OTHER - NEVADA,50,194412,1151,625
Montgomery,139,29139,,,,,330
Boone,15,21015,,,,,300
Caroline,11,24011,,,,,120
Logan,109,20109,ANADARKO,334,619026,0,450
Trego,195,20195,ANADARKO,588,639232,0,385
Ellis,51,20051,SALINA,2432,2271355,0,380
Gove,63,20063,ANADARKO,380,539448,0,385
Prince Georges,33,24033,,,,,150
Wallace,199,20199,ANADARKO,34,96513,0,450
Russell,167,20167,SALINA,1756,1312354,0,380
Dickinson,41,20041,ANADARKO,19,6411,0,380
El Paso,41,8041,,,,,540
Teller,119,8119,,,,,540
Randolph,83,54083,APPALACHIAN,548,0,730710,160A
Campbell,37,21037,,,,,300
Upshur,97,54097,APPALACHIAN,1981,1316,10738684,160A
Gilmer,21,54021,APPALACHIAN,2743,88509,5622589,160A
Douglas,5,32005,,,,,625
Shenandoah,171,51171,,,,,160A
Jackson,35,54035,APPALACHIAN,1220,8682,3428330,160
Kenton,117,21117,,,,,300
Mineral,21,32021,,,,,625
Jackson,71,18071,,,,,300
Callaway,27,29027,,,,,330
Douglas,45,20045,CHEROKEE PLATFORM,325,27692,0,335
El Dorado,17,6017,,,,,625
Fairfax,59,51059,,,,,150
Cooper,53,29053,,,,,340
Chaffee,15,8015,,,,,540
Adams,1,39001,,,,,160
Calhoun,13,54013,APPALACHIAN,2585,55409,2334263,160
Johnson,91,20091,CHEROKEE PLATFORM,1001,121102,47557,335
Sevier,41,49041,OTHER - UTAH,31,1163182,0,630
Warren,187,51187,,,,,160A
Cheyenne,17,8017,ANADARKO,276,801522,3642423,540
Gallia,53,39053,APPALACHIAN,387,14467,106363,160
Ohio,115,18115,,,,,300
Bond,5,17005,,,,,315
Mason,53,54053,APPALACHIAN,203,5786,346542,160
Scioto,145,39145,,,,,160
Fauquier,61,51061,,,,,160A
Madison,119,17119,,,,,315
Warren,219,29219,,,,,330
Lawrence,93,18093,,,,,315
Washington,1,11001,,,,,150
St. Charles,183,29183,,,,,330
Saline,169,20169,ANADARKO,95,50645,0,380
Sussex,5,10005,,,,,120
Pendleton,71,54071,APPALACHIAN,2,0,0,160A
Talbot,41,24041,,,,,120
Roane,87,54087,APPALACHIAN,1658,76910,2201092,160
Pettis,159,29159,,,,,335
Prince William,153,51153,,,,,150
Johnson,101,29101,,,,,335
Arlington,13,51013,,,,,150
Switzerland,155,18155,,,,,300
Yolo,113,6113,SACRAMENTO,12,0,17524,730
Alpine,3,6003,,,,,625
Jefferson,77,18077,,,,,300
Moniteau,135,29135,,,,,340
Clay,25,17025,,,,,315
Knox,83,18083,,,,,315
Martin,101,18101,,,,,315
Daviess,27,18027,,,,,315
Braxton,7,54007,APPALACHIAN,1105,2628,1292224,160
Falls Chruch,610,51610,,,,,150
St. Louis,189,29189,,,,,340
Pendleton,191,21191,,,,,300
Fairfax City,600,51600,,,,,150
Gallatin,77,21077,,,,,300
Morris,127,20127,CHEROKEE PLATFORM,69,38402,0,380
Osage,139,20139,CHEROKEE PLATFORM,4,1269,0,335
Ellsworth,53,20053,SALINA,315,211296,45526,380
Rappahannock,157,51157,,,,,160A
Lawrence,101,17101,,,,,315
Richland,159,17159,,,,,315
Napa,55,6055,,,,,730
Sonoma,97,6097,,,,,735
Alexandria,510,51510,,,,,150
Rockingham,165,51165,,,,,160A
Lawrence,87,39087,APPALACHIAN,174,2876,145850,160
Cass,37,29037,,,,,335
Marion,121,17121,,,,,315
Scott,143,18143,,,,,300
Page,139,51139,,,,,160A
Bracken,23,21023,,,,,300
Grant,81,21081,,,,,300
St. Louis City,510,29510,,,,,315
Manassas Park City,685,51685,,,,,150
Washington,175,18175,,,,,300
Manassas City,683,51683,,,,,150
Calvert,9,24009,,,,,120
Carroll,41,21041,,,,,300
Mason,161,21161,,,,,160
Greenup,89,21089,APPALACHIAN,53,56442,84267,160
Clinton,27,17027,,,,,315
Webster,101,54101,APPALACHIAN,7,0,4812,160
Trimble,223,21223,,,,,300
Sacramento,67,6067,SACRAMENTO,4,0,156533,730
Miami,121,20121,CHEROKEE PLATFORM,2072,173212,0,335
Cole,51,29051,,,,,340
Pocahontas,75,54075,,,,,160A
Lyon,111,20111,CHEROKEE PLATFORM,93,58300,0,335
Franklin,59,20059,CHEROKEE PLATFORM,1868,110587,0,335
Owen,187,21187,,,,,300
Lewis,135,21135,,,,,160
Gasconade,73,29073,,,,,330
Osage,151,29151,,,,,340
Charles,17,24017,,,,,150
Mono,51,6051,,,,,625
Franklin,71,29071,,,,,340
Dorchester,19,24019,,,,,120
Culpeper,47,51047,,,,,150
Amador,5,6005,,,,,730
Scott,171,20171,ANADARKO,279,447422,78079,360
Morgan,141,29141,,,,,340
Wichita,203,20203,ANADARKO,78,158624,61187,360
Lane,101,20101,ANADARKO,362,566723,0,360
Ness,135,20135,ANADARKO,1012,1245728,22735,385
Greeley,71,20071,ANADARKO,103,96317,225847,450
Fremont,43,8043,OTHER - COLORADO,50,17899,11084,540
Rush,165,20165,SALINA,243,128850,351297,385
Barton,9,20009,SALINA,1714,1411681,163146,385
Orange,117,18117,,,,,315
Putnam,79,54079,APPALACHIAN,836,2325,3073843,160
Lincoln,17,32017,,,,,625
Montrose,85,8085,,,,,595
Clay,15,54015,APPALACHIAN,1010,71289,1325407,160
St. Clair,163,17163,,,,,315
Kanawha,39,54039,APPALACHIAN,3191,45664,11224446,160
Madison,113,51113,,,,,160A
Kiowa,61,8061,ANADARKO,88,117970,316252,540
Wayne,191,17191,,,,,315
Clark,19,18019,,,,,300
McPherson,113,20113,ANADARKO,492,268961,43426,380
Robertson,201,21201,,,,,300
Henry,103,21103,,,,,300
Marion,115,20115,ANADARKO,308,91881,104417,380
Stafford,179,51179,,,,,150
Cabell,11,54011,APPALACHIAN,364,7230,657286,160
Highland,91,51091,,,,,160A
Harrison,97,21097,,,,,300
Beaver,1,49001,,,,,630
Edwards,47,17047,,,,,315
Wabash,185,17185,,,,,315
Henry,83,29083,,,,,335
Nicholas,67,54067,APPALACHIAN,284,81,597957,160
Wicomico,45,24045,,,,,120
Pike,125,18125,,,,,315
Benton,15,29015,,,,,335
Oldham,185,21185,,,,,300
Fleming,69,21069,,,,,160
Gibson,51,18051,,,,,315
Dubois,37,18037,,,,,315
Monroe,133,17133,,,,,340
Pueblo,101,8101,,,,,540
Chase,17,20017,CHEROKEE PLATFORM,106,19820,19498,335
Rice,159,20159,SALINA,768,471466,116731,385
Crowley,25,8025,,,,,540
St. Marys,37,24037,,,,,120
Washington,189,17189,,,,,315
Carter,43,21043,,,,,160
Wayne,55,49055,,,,,630
Piute,31,49031,,,,,630
Calaveras,9,6009,,,,,730
Boyd,19,21019,APPALACHIAN,39,0,142963,160
Jefferson,99,29099,,,,,340
San Juan,37,49037,PARADOX,466,3239454,8554388,595
Scott,209,21209,,,,,300
Augusta,15,51015,,,,,160A
Jefferson,81,17081,,,,,315
Greene,79,51079,,,,,160A
Bates,13,29013,,,,,335
Harrisonburg,660,51660,,,,,160A
Saguache,109,8109,,,,,540
Nicholas,181,21181,,,,,300
Esmeralda,9,32009,,,,,625
Worcester,47,24047,,,,,120
Tuolumne,109,6109,,,,,625
Coffey,31,20031,CHEROKEE PLATFORM,1546,209490,0,335
Miller,131,29131,,,,,340
Crawford,25,18025,,,,,300
Harrison,61,18061,,,,,300
Wayne,99,54099,APPALACHIAN,1091,11502,3636274,160
Floyd,43,18043,,,,,300
Orange,137,51137,,,,,150
Rowan,205,21205,,,,,160
Linn,107,20107,CHEROKEE PLATFORM,938,78643,0,335
Anderson,3,20003,CHEROKEE PLATFORM,1830,127158,0,335
Jefferson,111,21111,,,,,300
Spotsylvania,177,51177,,,,,150
King George,99,51099,,,,,150
Lincoln,43,54043,APPALACHIAN,1930,107673,6878538,160
Franklin,73,21073,,,,,300
Bourbon,17,21017,,,,,300
Shelby,211,21211,,,,,300
Pawnee,145,20145,SALINA,189,170268,385897,385
Ouray,91,8091,,,,,595
Marin,41,6041,,,,,735
Fredericksburg,630,51630,,,,,150
Bath,11,21011,,,,,160
San Joaquin,77,6077,SACRAMENTO,108,0,26857550,730
Somerset,39,24039,,,,,120
Maries,125,29125,,,,,340
Westmoreland,193,51193,,,,,120
Albemarle,3,51003,,,,,160A
Lawrence,127,21127,APPALACHIAN,410,262314,918939,160
Elliott,63,21063,APPALACHIAN,28,2877,0,160
Bath,17,51017,,,,,160A
Greenbrier,25,54025,,,,,160
Camden,29,29029,,,,,340
Fayette,19,54019,APPALACHIAN,458,144,1254291,160
Prowers,99,8099,ANADARKO,20,49,233510,450
Perry,123,18123,,,,,300
Bent,11,8011,ANADARKO,16,0,165096,450
White,193,17193,,,,,315
Hamilton,65,17065,,,,,315
Hamilton,75,20075,ANADARKO,272,12394,2503360,360
Kearny,93,20093,ANADARKO,1731,421148,17735784,360
Otero,89,8089,,,,,540
Custer,27,8027,,,,,540
Finney,55,20055,ANADARKO,1571,1508422,10135928,360
Stafford,185,20185,SALINA,1042,893560,146402,385
Hodgeman,83,20083,ANADARKO,234,399962,572973,385
Caroline,33,51033,,,,,150
Warrick,173,18173,,,,,315
Posey,129,18129,OTHER - KENTUCKY,1,0,0,315
Boone,5,54005,APPALACHIAN,1103,4834,5046745,160
Randolph,157,17157,,,,,340
St. Clair,185,29185,,,,,335
Perry,145,17145,,,,,315
Crawford,55,29055,,,,,340
